beta,t_half
0.0,0.38333726233271836
0.1,0.4473187483969656
0.2,0.5454776206127697
0.3,0.6768244456120085
0.4,0.893949900967493
0.5,1.223722492144581
0.6,1.768594302700082
0.7,2.8031743031216676
0.8,4.727769965395126
0.8,3.8062936129326435
0.9,6.871381426793515
1.0,14.967509149091216
1.1,37.95011940911441
1.2,119.51631322134496
1.3,456.0067530010723
1.4,2244.6946976515364
1.5,15071.76449095052
1.6,131156.60682699745
